course_code,course_title,prereq_codes,prereq_details
CMPSC 97,Special Topics,[],[]
CMPSC 100,Computer Fundamentals and Applications,['MATH 21'],[]
CMPSC 101,Introduction to Programming,['MATH 21'],[]
CMPSC 102,Introduction to Visual Programming,[],[]
CMPSC 111,Logic for Computer Science,[],[]
CMPSC 121,Introduction to Programming Techniques,"['MATH 110', 'MATH 140']",['or']
CMPSC 122,Intermediate Programming,['CMPSC 121'],[]
CMPSC 122H,Intermediate Programming,[],[]
CMPSC 131,Programming and Computation I: Fundamentals,"['MATH 110', 'MATH 140']",['or']
CMPSC 132,Programming and Computation II: Data Structures,"['CMPSC 121', 'CMPSC 131']",['or']
CMPSC 150N,Computing and Society,['PHIL 150N'],[]
CMPSC 197,Special Topics,[],[]
CMPSC 199,Foreign Studies,[],[]
CMPSC 200,Programming for Engineers with MATLAB,"['MATH 140', 'MATH 140B', 'MATH 140E', 'MATH 140G', 'MATH 140H', 'MATH 141', 'MATH 141B', 'MATH 141E', 'MATH 141G', 'MATH 141H', 'MATH 220']","['or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or']"
CMPSC 201,Programming for Engineers with C++,"['MATH 140', 'MATH 141']",[]
CMPSC 203,Introduction to Spreadsheets and Databases,[],[]
CMPSC 204,Introduction to Computational Sciences Programming,['MATH 141'],[]
CMPSC 205,Intermediate Computational Sciences Programming,"['CMPSC 204', 'CMPSC 121', 'CMPSC 131']","['or', 'or']"
CMPSC 208,Technical Game Development,['MATH 21'],[]
CMPSC 221,Object Oriented Programming with Web-Based Applications,"['CMPSC 122', 'CMPSC 132']",['or']
CMPSC 222,Advanced Data Structures and Algorithms in C,"['CMPSC 122', 'CMPSC 132']",['or']
CMPSC 263,Blockchain and Modern Web Development,"['CMPSC 132', 'CMPSC 122']",['or']
CMPSC 296,Independent Studies,[],[]
CMPSC 297,Special Topics,[],[]
CMPSC 299,Foreign Studies,[],[]
CMPSC 301,Event Driven Programming for Computational Sciences,['CMPSC 205'],[]
CMPSC 302,Intermediate Visual Programming,"['CMPSC 102', 'CMPSC 121']",['or']
CMPSC 311,Introduction to Systems Programming,['CMPSC 221'],[]
CMPSC 312,Computer Organization and Architecture,"['CMPSC 121', 'CMPSC 131']",['or']
CMPSC 313,Assembly Language Programming,['CMPSC 312'],[]
CMPSC 315,Computer Systems I,"['CMPEN 270', 'CMPEN 271', 'CMPEN 275', 'CMPSC 222']","['or', 'and', 'and']"
CMPSC 316,Computer Systems II,['CMPSC 315'],[]
CMPSC 320,Software Engineering Principles,['CMPSC 221'],[]
CMPSC 330,Advanced Programming in C++,"['CMPSC 122', 'CMPSC 132']","['or', 'or', 'or']"
CMPSC 335,Fundamentals of Communication Networks,[],[]
